case_id	domain	title	purpose	invariants	oracle	fixture	tolerance	determinism	profiles	cost	lineage
SWAP5-TB-RST-SPLIT-0011-v1	RESTART	Continuous versus committed-boundary split run	Destroy/reconstruct/restore continuation matches uninterrupted endpoint, mass, lineage, revision and time.	3,4,7,8,9,13,27,29,30	FMR19_CONTINUOUS_VS_RESTARTED_ENDPOINT_IDENTITY=PASS	FCI28 real-process matrix N=1,2,7,8,17,31,32	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-PROCESS-0012-v1	RESTART	Process continuation state survives restart	Qualified active physical/process continuation state is exported and restored without solver scratch.	3,4,5,7,8,27,30	FCI28_EXPLICIT_STATE_FAMILY_DISCRIMINATOR=PASS	FCI28 B1.10 physical and temporal-history state families	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-MASS-0013-v1	RESTART	Restart preserves interval water accounting	Split continuation preserves authoritative interval mass under the existing hard mass gate.	7,13,30	FCI28_RESTART_MASS_AND_CONTINUATION=PASS	FCI28 real-process restart	SEMANTIC_MASS1E-12_INHERITED	NUMERICAL_EQUIVALENCE_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-SCHEMA-0014-v1	RESTART	Wrong restart schema fails closed	Bundle, record or kernel schema mismatch is rejected before publication.	3,4,7,29,30	FMQ27_FULL_NEGATIVE_MATRIX=PASS	FCI28 FMQ27 negative restart matrix	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-LAYOUT-0015-v1	RESTART	Incompatible state/layout family fails closed	Physical state family inconsistent with template/numerical continuation layout cannot restore.	3,4,7,27,30	FMQ27_REGISTERED_WRONG_FAMILY_REJECTED=PASS	FCI28 FMQ27 state-family discriminator	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-TEMPLATE-0016-v1	RESTART	Wrong template identity fails closed	Template topology/layout/solver/backend identity mismatch rejects restore atomically.	3,4,7,23,29,30	FMR19_TEMPLATE_LAYOUT_IDENTITY_FAIL_CLOSED=PASS	FCI28 FMR19 restart identity matrix	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-PARAM-0017-v1	RESTART	Wrong parameter identity fails closed	Parameter-set or per-column parameter_ref mismatch rejects restart before target publication.	3,4,7,23,29,30	FMR19_PARAMETER_SET_IDENTITY_FAIL_CLOSED=PASS	FCI28 FMR19 restart identity matrix	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-CORRUPT-0018-v1	RESTART	Incomplete or malformed state fails closed atomically	Missing/malformed concrete state or late invalid record leaves all fresh target states unmodified.	3,4,7,13,30	FMQ27_LATE_RECORD_ATOMICITY=PASS	FCI28 FMQ27 malformed/late-record attacks	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-RST-OPTIONAL-0019-v1	RESTART	Inactive options add no persistent scratch and active registered continuation is explicit	Restart carrier excludes forcing/worker/Newton/Jacobian/warm-start data; optional active continuation requires a registered state family.	3,4,5,27,29,30	FTB04_OPTIONAL_STATE_SCALING=PASS	FCI28 restart record and state-family audit	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-DET-REPEAT-0020-v1	DETERMINISM	Repeated execution is bit-repeatable	A/B/A repeated physical execution produces identical results, diagnostics, state and aggregate contract fields.	6,16,23,26,30	FMQ26_DETERMINISTIC_REPLAY=PASS	FCI30 FMQ26 parallel A/B/A matrix	EXACT	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-DET-O0O2-0021-v1	DETERMINISM	O0/O2 qualified transcript identity	Qualification transcript and result/state oracles are identical across O0 and O2 where the current contract requires it.	6,16,23,26,30	FCI28_O0_O2_OUTPUT_IDENTITY=PASS	FCI28, FCI30 and FCI35 optimization-pair gates	EXACT	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-DET-SERIAL-0022-v1	DETERMINISM	Serialized runtime repeatability	Serialized batch decomposition/input order changes do not alter per-column physical results or accepted receipts.	6,16,26,30	FTB04_SERIALIZED_REPEATABILITY=PASS	FMR18 serialized MultiSWAP fixture replayed by FCI30	EXACT	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-DET-BATCH-0023-v1	DETERMINISM	Batch decomposition preserves physical solution	Changing batch size preserves per-column results, committed state and mass.	6,13,16,24,26,30	FMQ26_WORKER_COUNT_INDEPENDENCE=PASS	FCI30 N/batch matrix	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-DET-ORDER-0024-v1	DETERMINISM	Input ordering and canonical collection are deterministic	Reversed/interleaved/rotated input orders yield canonical publication with identical per-column physical outputs.	6,16,26,29,30	FMQ26_INPUT_ORDER_INDEPENDENCE=PASS	FCI30 FMQ26 ordering attacks	EXACT	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-DET-WORKER-0025-v1	DETERMINISM	Worker assignment changes preserve semantic physical result	2-worker and 4-worker execution may differ in worker-local scheduling metadata but must preserve physical state/results and hard mass.	5,6,13,16,23,26,30	FMQ26_WORKER_COUNT_INDEPENDENCE=PASS	FCI30 independent parallel matrix	SEMANTIC_MASS1E-12_INHERITED	NUMERICAL_EQUIVALENCE_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-N1-0026-v1	MULTISWAP	Single-column committed restart baseline	N=1 remains a full valid logical-column case and matches continuous/restart semantics.	3,4,7,13,16,30	FMR19_BATCH_SIZE_1=PASS	FCI28 N=1 restart case	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	CANONICAL,RELEASE,DEEP	LARGE	tests/fci/run_fci28_restart_current_canonical_admission.sh@5cf6523628b6df2dcf9c98baf05de103c24222f5
SWAP5-TB-MSW-SMALL-0027-v1	MULTISWAP	Small regular parallel batch	Small N=2 batch matches serialized, 2-worker and 4-worker physical execution.	5,6,13,16,26,30	FCI30_PARALLEL_O0_O2_OUTPUT_IDENTITY=PASS	FCI30 N=2/B=1,2 cases	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-IRREG-0028-v1	MULTISWAP	Irregular batch decomposition	Prime/awkward N and batch sizes preserve isolation, collection and mass.	5,6,13,16,24,26,30	FCI30_PARALLEL_O0_O2_OUTPUT_IDENTITY=PASS	FCI30 N=7,17,31 irregular matrices	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-MEDIUM-0029-v1	MULTISWAP	Bounded medium qualification batch	N=32/33 qualification batches exercise concurrent worker overlap and cross-worker restart without turning CI into a scale benchmark.	5,6,13,16,24,26,30	FCI35_HELDOUT_CROSS_WORKER_RESTART_REPLAY=PASS	FCI30 N=32 and FCI35 N=33 held-out composition	SEMANTIC_MASS1E-12_INHERITED	NUMERICAL_EQUIVALENCE_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci35_parallel_restart_current_canonical_admission.sh@3c4e92369058b72c4b71e0f94dc51e76ac989db7
SWAP5-TB-MSW-HETPARAM-0030-v1	MULTISWAP	Heterogeneous parameter references within one template	Columns sharing one template but alternating immutable parameter_ref values must match serialized, 2-worker and 4-worker physical execution.	3,4,5,6,13,16,23,27,30	FTB04_HETPARAM_PARALLEL_EQUIVALENCE=PASS	Temporary transform of immutable FMQ26 matrix blob; no production source or owner evidence rewritten	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-SERIALPAR-0031-v1	MULTISWAP	Standalone/serialized/parallel physical equivalence	Per-column reference execution semantics are preserved by serialized and admitted parallel runtime paths.	5,6,13,16,23,26,30	FCI30_PARALLEL_O0_O2_OUTPUT_IDENTITY=PASS	FCI30 serialized versus 2/4-worker matrix	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-ISOLATION-0032-v1	MULTISWAP	Cross-column state isolation under rejection	Rejected columns retain initial committed state while unaffected columns remain bit-identical to the reference run.	3,5,7,13,16,26,30	FMQ26_TWO_WORKER_SEPARATED_REJECTIONS=PASS	FCI30 batch-boundary/interior/separated rejection attacks	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-SCRATCH-0033-v1	MULTISWAP	Worker scratch is worker-owned and nonpersistent	Heavy runtime/executor scratch is allocated per worker and excluded from restart records.	4,5,6,16,27,30	FTB04_WORKER_SCRATCH_ISOLATION=PASS	FCI30 worker-owned seam plus FCI35 committed-state-only restart audit	EXACT	NUMERICAL_EQUIVALENCE_REQUIRED	FAST,RELEASE,DEEP	SMALL	tests/fci/run_fci35_parallel_restart_current_canonical_admission.sh@3c4e92369058b72c4b71e0f94dc51e76ac989db7
SWAP5-TB-MSW-MASS-0034-v1	MULTISWAP	Per-column and aggregate water mass remain authoritative	Every committed column satisfies hard mass; authoritative aggregate mass is complete and composition-safe.	13,16,26,30	FMQ26_HARD_MASS_ALL_CASES=PASS	FCI30 FMQ26 and FCI35 FMQ29 mass gates	SEMANTIC_MASS1E-12_INHERITED	NUMERICAL_EQUIVALENCE_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-MSW-OPTIONAL-0035-v1	MULTISWAP	Inactive optional physics is fail-closed and noncontaminating	Inactive root/snow/macropore paths carry no active optional state; unsupported activation is rejected before physical solve and cannot mutate unrelated columns.	4,5,16,23,27,30	FMQ26_UNSUPPORTED_PROFILES_FAIL_CLOSED=PASS	FCI30 unsupported profile matrix plus FCI28 compact restart audit	EXACT	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
